sexo,edad,weights,educ,perc,type
hombre,88,236398,no_lic,0.946,all
hombre,89,201448,lic_law,0.001,all
hombre,89,201448,lic_non_law,0.04,all
hombre,89,201448,no_lic,0.959,all
hombre,90,166379,lic_law,0.002,all
hombre,90,166379,lic_non_law,0.021,all
hombre,90,166379,no_lic,0.977,all
hombre,91,113505,lic_law,0,all
hombre,91,113505,lic_non_law,0.041,all
hombre,91,113505,no_lic,0.959,all
hombre,92,104057,lic_law,0.002,all
hombre,92,104057,lic_non_law,0.065,all
hombre,92,104057,no_lic,0.934,all
hombre,93,84105,lic_law,0,all
hombre,93,84105,lic_non_law,0.039,all
hombre,93,84105,no_lic,0.961,all
hombre,94,73905,lic_law,0.002,all
hombre,94,73905,lic_non_law,0.034,all
hombre,94,73905,no_lic,0.965,all
hombre,95,58157,lic_law,0.007,all
hombre,95,58157,lic_non_law,0.052,all
hombre,95,58157,no_lic,0.941,all
hombre,96,46564,lic_law,0.002,all
hombre,96,46564,lic_non_law,0.038,all
hombre,96,46564,no_lic,0.96,all
hombre,97,101247,lic_law,0.009,all
hombre,97,101247,lic_non_law,0.009,all
hombre,97,101247,no_lic,0.983,all
mujer,21,5241115,lic_law,0.027,all
mujer,21,5241115,lic_non_law,0.327,all
mujer,21,5241115,no_lic,0.645,all
mujer,22,5199620,lic_law,0.028,all
mujer,22,5199620,lic_non_law,0.35,all
mujer,22,5199620,no_lic,0.622,all
mujer,23,5199363,lic_law,0.027,all
mujer,23,5199363,lic_non_law,0.343,all
mujer,23,5199363,no_lic,0.631,all
mujer,24,4990176,lic_law,0.026,all
mujer,24,4990176,lic_non_law,0.346,all
mujer,24,4990176,no_lic,0.628,all
mujer,25,5000610,lic_law,0.026,all
mujer,25,5000610,lic_non_law,0.315,all
mujer,25,5000610,no_lic,0.659,all
mujer,26,4968845,lic_law,0.023,all
mujer,26,4968845,lic_non_law,0.329,all
mujer,26,4968845,no_lic,0.648,all
mujer,27,4925226,lic_law,0.026,all
mujer,27,4925226,lic_non_law,0.3,all
mujer,27,4925226,no_lic,0.674,all
mujer,28,4817756,lic_law,0.026,all
mujer,28,4817756,lic_non_law,0.288,all
mujer,28,4817756,no_lic,0.685,all
mujer,29,4580500,lic_law,0.021,all
mujer,29,4580500,lic_non_law,0.28,all
mujer,29,4580500,no_lic,0.698,all
mujer,30,5012552,lic_law,0.021,all
mujer,30,5012552,lic_non_law,0.262,all
mujer,30,5012552,no_lic,0.718,all
mujer,31,4738215,lic_law,0.019,all
mujer,31,4738215,lic_non_law,0.258,all
mujer,31,4738215,no_lic,0.723,all
mujer,32,4595370,lic_law,0.022,all
mujer,32,4595370,lic_non_law,0.248,all
mujer,32,4595370,no_lic,0.73,all
mujer,33,4699116,lic_law,0.024,all
mujer,33,4699116,lic_non_law,0.248,all
mujer,33,4699116,no_lic,0.728,all
mujer,34,4504199,lic_law,0.02,all
mujer,34,4504199,lic_non_law,0.228,all
mujer,34,4504199,no_lic,0.752,all
mujer,35,4708259,lic_law,0.023,all
mujer,35,4708259,lic_non_law,0.23,all
mujer,35,4708259,no_lic,0.747,all
mujer,36,4712782,lic_law,0.02,all
mujer,36,4712782,lic_non_law,0.228,all
mujer,36,4712782,no_lic,0.752,all
mujer,37,4518037,lic_law,0.021,all
mujer,37,4518037,lic_non_law,0.208,all
mujer,37,4518037,no_lic,0.771,all
mujer,38,4434967,lic_law,0.024,all
mujer,38,4434967,lic_non_law,0.204,all
mujer,38,4434967,no_lic,0.773,all
mujer,39,4533051,lic_law,0.021,all
mujer,39,4533051,lic_non_law,0.188,all
mujer,39,4533051,no_lic,0.791,all
mujer,40,5012358,lic_law,0.018,all
mujer,40,5012358,lic_non_law,0.183,all
mujer,40,5012358,no_lic,0.799,all
mujer,41,4715588,lic_law,0.018,all
mujer,41,4715588,lic_non_law,0.175,all
mujer,41,4715588,no_lic,0.807,all
mujer,42,4438221,lic_law,0.018,all
mujer,42,4438221,lic_non_law,0.179,all
mujer,42,4438221,no_lic,0.804,all
mujer,43,4715563,lic_law,0.02,all
mujer,43,4715563,lic_non_law,0.166,all
mujer,43,4715563,no_lic,0.813,all
mujer,44,4333556,lic_law,0.017,all
mujer,44,4333556,lic_non_law,0.161,all
